c minisat_input_format
p cnf 4500 8000
-4340 -3375 -1297 0
-4397 -4253 3794 0
-3880 3226 3945 0
-2274 -844 846 0
1515 2884 4119 0
-861 3659 3736 0
-4337 -2549 1907 0
-4487 15 500 0
-2969 -1533 981 0
-1281 1420 2214 0
-4379 -2662 3307 0
-1204 -1181 2454 0
-763 2477 3273 0
-4301 -4295 -585 0
-4480 -1697 1877 0
-2263 -485 1380 0
-1742 760 3225 0
-4411 -3782 -1632 0
992 2089 3217 0
-2727 2262 3664 0
-4178 -3253 -922 0
-81 343 3986 0
-2757 87 1181 0
-4409 -2376 4022 0
-3675 1317 3224 0
-3808 -3347 2919 0
-1464 3484 4058 0
-4030 2463 3711 0
-4002 -3945 3165 0
-3206 -1786 3673 0
-1797 3439 4196 0
-2064 -325 3169 0
-1386 608 1702 0
-3704 -3113 2134 0
-2034 632 3407 0
-2826 -2141 -1271 0
-2205 -1839 187 0
793 2614 3097 0
-2491 -2169 822 0
-3925 -3269 3043 0
-3320 834 2103 0
-3668 -3394 1637 0
-3372 -2440 1324 0
-3598 1101 2033 0
90 1859 3210 0
-2381 1560 2226 0
1452 2029 2288 0
-1805 -1630 925 0
687 880 1483 0
-4296 -843 4389 0
-2317 -1553 1937 0
-1638 -1542 1661 0
-1993 -66 4121 0
-3827 -446 223 0
-1510 1423 2064 0
-4274 -3104 -2373 0
-1361 -587 3621 0
-2763 -2492 2478 0
-3476 -430 788 0
-2470 1591 2945 0
-2056 -1351 -1106 0
-1766 2139 4261 0
-3059 -302 343 0
-3416 -1820 -1773 0
-3867 -3076 -2211 0
-1106 1863 3321 0
-2989 1732 4239 0
-1003 448 3750 0
-2965 -1366 -94 0
-595 357 3609 0
-3654 -2649 2924 0
-2761 -25 -6 0
-3355 1218 2846 0
-3489 -656 75 0
-2654 257 563 0
-2603 -4 480 0
1066 1553 4385 0
-3411 28 2685 0
-3251 -1156 877 0
-4050 -3737 -1219 0
-2419 1780 1959 0
-1204 2443 3666 0
-3291 -3103 1482 0
-4141 -3129 -180 0
-3542 2995 3665 0
-2258 -1 1357 0
-1598 3283 3316 0
1432 1827 4473 0
-2454 48 4229 0
-1563 98 2368 0
-1765 2139 3875 0
-3242 416 2471 0
-3116 -1183 4384 0
-4343 -3201 221 0
-3073 -724 4265 0
-3013 801 3270 0
-1978 678 2549 0
-1040 489 947 0
-4262 -523 353 0
-3419 -1943 1545 0
